time,gFx,gFy,gFz,gFTotal,label
4.292640924,-0.09,-0.602,-0.901,1.087,walk
4.297633886,-0.059,-0.593,-0.924,1.1,walk
4.308125973,-0.025,-0.587,-0.942,1.11,walk
4.317952871,0.014,-0.594,-0.956,1.126,walk
4.328231812,0.043,-0.602,-0.966,1.139,walk
4.338251829,0.051,-0.603,-0.968,1.142,walk
4.348448753,0.044,-0.6,-0.97,1.141,walk
4.35857296,0.034,-0.596,-0.975,1.143,walk
4.392752886,0.01,-0.564,-1.016,1.162,walk
4.393044949,0.01,-0.564,-1.016,1.162,walk
4.393421888,0.01,-0.564,-1.016,1.162,walk
4.397577763,0.012,-0.542,-1.042,1.175,walk
4.40792799,0.029,-0.525,-1.057,1.181,walk
4.418004036,0.065,-0.528,-1.063,1.189,walk
4.428019047,0.117,-0.547,-1.061,1.199,walk
4.43807292,0.175,-0.586,-1.045,1.211,walk
4.448431969,0.231,-0.634,-1.008,1.213,walk
4.458469868,0.264,-0.678,-0.972,1.214,walk
4.491163731,0.264,-0.73,-1.017,1.279,walk
4.491427898,0.264,-0.73,-1.017,1.279,walk
4.491666794,0.264,-0.73,-1.017,1.279,walk
4.497899055,0.231,-0.682,-1.032,1.258,walk
4.507863998,0.202,-0.624,-1.025,1.217,walk
4.518041849,0.185,-0.575,-1.009,1.176,walk
4.528040886,0.187,-0.53,-0.988,1.137,walk
4.538307905,0.198,-0.48,-0.95,1.083,walk
4.548241854,0.218,-0.432,-0.898,1.02,walk
4.558887005,0.241,-0.396,-0.852,0.97,walk
4.591701031,0.303,-0.379,-0.769,0.909,walk
4.591938972,0.303,-0.379,-0.769,0.909,walk
4.592157841,0.303,-0.379,-0.769,0.909,walk
4.59798789,0.31,-0.388,-0.768,0.915,walk
4.60766077,0.31,-0.398,-0.77,0.921,walk
4.618159771,0.297,-0.403,-0.766,0.915,walk
4.628149986,0.278,-0.408,-0.767,0.912,walk
4.638196945,0.264,-0.411,-0.779,0.919,walk
4.648214817,0.252,-0.405,-0.799,0.931,walk
4.658362865,0.244,-0.394,-0.821,0.943,walk
4.693246841,0.231,-0.365,-0.832,0.937,walk
4.693516731,0.231,-0.365,-0.832,0.937,walk
4.693734884,0.231,-0.365,-0.832,0.937,walk
4.697432995,0.212,-0.357,-0.818,0.917,walk
4.707459927,0.185,-0.343,-0.795,0.885,walk
4.718023777,0.161,-0.332,-0.762,0.847,walk
4.727809906,0.145,-0.332,-0.726,0.811,walk
4.738204956,0.134,-0.338,-0.693,0.783,walk
4.748049736,0.122,-0.343,-0.671,0.763,walk
4.758172035,0.112,-0.348,-0.667,0.761,walk
4.77350378,0.108,-0.355,-0.675,0.77,walk
4.794926882,0.084,-0.372,-0.695,0.793,walk
4.795147896,0.084,-0.372,-0.695,0.793,walk
4.797155857,0.065,-0.377,-0.702,0.799,walk
4.815081835,0.049,-0.386,-0.709,0.809,walk
4.817282915,0.045,-0.402,-0.709,0.816,walk
4.830525875,0.053,-0.422,-0.713,0.83,walk
4.837845802,0.07,-0.452,-0.725,0.857,walk
4.848012924,0.091,-0.489,-0.743,0.894,walk
4.858110905,0.107,-0.52,-0.763,0.93,walk
4.892212868,0.144,-0.599,-0.838,1.04,walk
4.892493725,0.144,-0.599,-0.838,1.04,walk
4.892749786,0.144,-0.599,-0.838,1.04,walk
4.897637844,0.137,-0.621,-0.873,1.08,walk
4.907573938,0.12,-0.635,-0.909,1.115,walk
4.917736053,0.096,-0.643,-0.948,1.15,walk
4.927820921,0.077,-0.652,-0.99,1.188,walk
4.937942982,0.069,-0.661,-1.038,1.233,walk
4.947972775,0.066,-0.666,-1.076,1.267,walk
4.958076,0.063,-0.663,-1.106,1.291,walk
4.992823839,0.104,-0.681,-1.156,1.346,walk
4.993126869,0.104,-0.681,-1.156,1.346,walk
4.993505955,0.104,-0.681,-1.156,1.346,walk
4.99704504,0.108,-0.686,-1.15,1.343,walk
5.007443905,0.101,-0.688,-1.13,1.327,walk
5.017687798,0.084,-0.681,-1.099,1.296,walk
